iter	Logloss
0	0.6894101212
1	0.6851130972
2	0.6812663447
3	0.6777168223
4	0.6740666193
5	0.6703526315
6	0.6667080897
7	0.6628546468
8	0.6594703541
9	0.6559051299
10	0.6529114125
11	0.6493557506
12	0.646236022
13	0.6427059153
14	0.6393640846
15	0.636018824
16	0.6330126329
17	0.6296116855
18	0.6264118215
19	0.6227528608
20	0.6196458583
21	0.6164639461
22	0.6132886738
23	0.6100962362
24	0.6074358276
25	0.6044498083
26	0.6019024425
27	0.5993917583
28	0.5968327115
29	0.5942403426
30	0.5909270788
31	0.5881604545
32	0.5858576844
33	0.5833502712
34	0.5808468129
35	0.578460583
36	0.5760486506
37	0.5738089332
38	0.5714557424
39	0.5688882753
40	0.5666291449
41	0.5647216973
42	0.5625161161
43	0.5600591969
44	0.5572419436
45	0.5554504407
46	0.5531837688
47	0.5508327399
48	0.5492628463
49	0.5474197963
50	0.5450254312
51	0.542521296
52	0.5400184685
53	0.5382242947
54	0.5361582604
55	0.5341671504
56	0.5324820104
57	0.5306052914
58	0.5288353096
59	0.5265175714
60	0.5248159733
61	0.523055689
62	0.5214314917
63	0.5197707789
64	0.5183601708
65	0.5167285579
66	0.5149643919
67	0.5128450377
68	0.5112829604
69	0.5094195039
70	0.5077619505
71	0.5058391984
72	0.5043550312
73	0.502617603
74	0.5012086269
75	0.4997092829
76	0.4985268677
77	0.4968074927
78	0.4951846897
79	0.4933347056
80	0.491350415
81	0.4901624288
82	0.4888658416
83	0.4872687145
84	0.4859748416
85	0.4847028257
86	0.4832451517
87	0.4820204602
88	0.4807747342
89	0.4792109474
90	0.4781928872
91	0.4768636204
92	0.475295034
93	0.4740154924
94	0.4729274648
95	0.471847703
96	0.4706812321
97	0.4698174784
98	0.468763748
99	0.4676242865
100	0.466240991
101	0.4652142463
102	0.464226577
103	0.4628608436
104	0.4619210733
105	0.4607438377
106	0.4596689492
107	0.4584686829
108	0.457187853
109	0.4555673333
110	0.4546828517
111	0.4536710325
112	0.4526664703
113	0.4518429797
114	0.4511004275
115	0.4503614513
116	0.4496098788
117	0.448481063
118	0.4471908814
119	0.4459198784
120	0.4450481891
121	0.444192219
122	0.4434319437
123	0.442437341
124	0.4412463546
125	0.4404861126
126	0.4396124905
127	0.4386047412
128	0.4379602047
129	0.437061473
130	0.4360952175
131	0.4353325485
132	0.4346820897
133	0.433907453
134	0.4330165663
135	0.4320891063
136	0.431288792
137	0.4304664598
138	0.4298267964
139	0.4291120676
140	0.427718773
141	0.4270538393
142	0.426418898
143	0.4257159027
144	0.4249940137
145	0.4243996167
146	0.4235376063
147	0.4225290423
148	0.4217297498
149	0.4211376839
150	0.4201966292
151	0.4191805549
152	0.4185322303
153	0.4177340844
154	0.4167658311
155	0.4160848926
156	0.4154301185
157	0.4145302894
158	0.4139522773
159	0.4130502008
160	0.412552865
161	0.4116124039
162	0.4106182779
163	0.4099462404
164	0.409341236
165	0.4087403719
166	0.4080845965
167	0.407450761
168	0.4067860212
169	0.4063604123
170	0.4058098289
171	0.4052201002
172	0.404724705
173	0.4039233105
174	0.4034394387
175	0.4022928509
176	0.4017552858
177	0.4011300904
178	0.4003789624
179	0.3999187716
180	0.3991728852
181	0.3986949785
182	0.3983423373
183	0.3977603309
184	0.3971135753
185	0.3963180191
186	0.3957789343
187	0.3949180353
188	0.3945006418
189	0.3939641616
190	0.3934421126
191	0.3929897788
192	0.3924943554
193	0.392205392
194	0.3915735494
195	0.3910543518
196	0.3906629036
197	0.3899406962
