iter	Passed	Remaining
0	58	58699
1	92	46404
2	115	38503
3	122	30623
4	142	28354
5	165	27385
6	188	26763
7	214	26543
8	220	24258
9	244	24181
10	247	22216
11	272	22417
12	279	21212
13	301	21254
14	321	21130
15	341	20993
16	366	21218
17	388	21219
18	413	21356
19	437	21438
20	458	21367
21	482	21431
22	504	21437
23	527	21456
24	550	21462
25	573	21473
26	586	21136
27	608	21139
28	633	21198
29	653	21144
30	680	21260
31	701	21232
32	731	21445
33	754	21428
34	775	21392
35	797	21355
36	819	21332
37	845	21403
38	870	21445
39	891	21394
40	916	21427
41	939	21418
42	969	21576
43	996	21645
44	1019	21633
45	1045	21682
46	1068	21657
47	1088	21593
48	1092	21210
49	1118	21258
50	1144	21288
51	1171	21359
52	1206	21553
53	1233	21607
54	1265	21735
55	1311	22101
56	1336	22118
57	1370	22263
58	1395	22259
59	1416	22191
60	1440	22176
61	1467	22202
62	1491	22185
63	1516	22182
64	1544	22220
65	1566	22166
66	1590	22149
67	1610	22079
68	1638	22105
69	1668	22164
70	1693	22161
71	1715	22115
72	1737	22061
73	1762	22057
74	1787	22046
75	1809	22000
76	1833	21981
77	1860	21989
78	1880	21926
79	1903	21887
80	1924	21839
81	1930	21615
82	1959	21653
83	1982	21613
84	2012	21661
85	2037	21655
86	2060	21622
87	2081	21575
88	2106	21565
89	2127	21509
90	2152	21498
91	2174	21464
92	2197	21427
93	2217	21371
94	2240	21341
95	2264	21325
96	2290	21325
97	2314	21300
98	2335	21257
99	2359	21238
100	2382	21206
101	2401	21146
102	2425	21120
103	2446	21081
104	2473	21081
105	2495	21042
106	2517	21011
107	2539	20977
108	2560	20930
109	2584	20910
110	2608	20894
111	2642	20952
112	2668	20948
113	2690	20912
114	2711	20865
115	2735	20842
116	2748	20743
117	2770	20711
118	2794	20692
119	2817	20663
120	2840	20636
121	2863	20611
122	2886	20580
123	2909	20555
124	2937	20563
125	2958	20521
126	2983	20507
127	3003	20463
128	3025	20430
129	3051	20423
130	3072	20381
131	3095	20354
132	3116	20315
133	3140	20297
134	3162	20261
135	3185	20235
136	3205	20194
137	3234	20201
138	3261	20199
139	3289	20205
140	3312	20182
141	3335	20152
142	3356	20112
143	3380	20094
144	3400	20049
145	3424	20028
146	3447	20007
147	3470	19980
148	3493	19951
149	3513	19911
150	3535	19879
151	3558	19850
152	3583	19835
153	3603	19793
154	3628	19779
155	3650	19750
156	3670	19710
157	3695	19692
158	3715	19653
159	3739	19633
160	3761	19601
161	3782	19567
162	3803	19530
163	3828	19516
164	3857	19518
165	3880	19497
166	3911	19510
167	3934	19484
