Loan_Status,LoanAmount,Loan_Amount_Term,Credit_History,coapp_Incomes_squared,Amount_history_squared,term_income,Gender_Married_freq,total_income_freq,Education_freq,Gender_Education_freq,Gender_freq,Self_Employed_freq,Married_freq,Dependents_freq,Property_Area_freq,Coapplicant_Income_bin_freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,5.499018195067542,18182061.105515942,95.3035658866158,0.04513117283950617,31.5,0.06154898273209095,133,224,480,388,502,532,213,360,202,273,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,5.5190582420299465,18182061.105515942,95.3035658866158,0.046998456790123454,32.0,0.00015798849053846428,369,247,480,388,502,532,401,102,179,153,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,4.692470062934172,18182061.105515942,95.3035658866158,0.023148148148148147,16.5,0.12,369,119,480,388,502,82,401,360,202,273,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,5.437049649012061,18182061.105515942,95.3035658866158,0.038125,30.0,6.471622743223806e-05,369,224,134,114,502,532,401,360,202,154,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,5.642553735840244,18182061.105515942,95.3035658866158,0.046296296296296294,35.25,0.06,133,224,480,388,502,532,213,360,202,273,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,6.475003941066079,18182061.105515942,95.3035658866158,0.07417438271604938,66.75,2.0440802499092512e-05,369,247,480,388,502,82,401,101,202,154,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,5.142820430255743,18182061.105515942,95.3035658866158,0.029699074074074076,23.75,0.00015648166621678186,369,119,134,114,502,532,401,360,202,153,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,5.788777235714794,18182061.105515942,0.0,0.04274691358024691,158.0,5.738833346192571e-05,369,224,480,388,502,532,401,51,233,154,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,5.868003877475783,18182061.105515942,95.3035658866158,0.04268518518518519,42.0,0.00015432879406622935,369,224,480,388,502,532,401,101,202,153,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,6.833042244871312,18182061.105515942,95.3035658866158,0.1837114197530864,87.25,2.99227332687972e-06,369,247,480,388,502,532,401,102,233,154,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,4.764519523455023,18182061.105515942,95.3035658866158,0.03009259259259259,17.5,0.00072992700729927,369,119,480,388,502,532,401,101,202,34,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,5.315460117251149,18182061.105515942,95.3035658866158,0.03348765432098765,27.25,0.00010625424279094478,369,224,480,388,502,532,401,101,202,153,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,6.09460224351975,18182061.105515942,95.3035658866158,0.08625771604938272,50.0,5.4785924077757725e-06,369,247,480,388,502,532,401,101,202,154,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5.372094367228515,18182061.105515942,95.3035658866158,0.03621141975308642,28.5,4.462374927997721e-05,133,224,480,388,502,532,213,360,179,154,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,3.115589749012457,665029.0186089918,95.3035658866158,0.165625,4.25,0.0001016350539301005,369,24,480,388,502,532,401,101,202,34,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,5.488885626531498,18182061.105515942,95.3035658866158,0.03819444444444445,31.25,0.07272727272727272,133,224,480,388,502,532,213,360,202,273,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,5.207067826664554,5351815.979246842,95.3035658866158,0.06243055555555556,25.0,0.06674082313681869,133,119,134,114,502,532,213,102,202,273,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,4.865678677865046,18182061.105515942,0.0,0.027083333333333334,76.0,0.10256410256410256,80,119,480,92,112,532,213,360,202,273,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,5.567896933924512,18182061.105515942,95.3035658866158,0.03770833333333334,33.25,0.07366482504604052,369,224,134,114,502,532,401,360,179,273,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,5.383140296808533,18182061.105515942,95.3035658866158,0.0470679012345679,28.75,2.938151902453357e-05,369,247,480,388,502,532,401,360,202,154,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5.256328887751378,18182061.105515942,0.0,0.059104938271604936,104.0,0.04699738903394256,369,247,134,114,502,532,401,360,202,273,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,6.695400518310748,18182061.105515942,95.3035658866158,0.08935185185185185,78.75,1.1375636798668293e-05,369,247,480,388,502,532,401,102,202,154,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,5.394096253283448,18182061.105515942,0.0,0.0348070987654321,116.0,9.850812185783034e-05,369,224,134,114,502,532,401,360,233,153,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,5.349726425108706,18182061.105515942,0.0,0.04075617283950617,112.0,9.787252321345943e-05,369,224,134,114,502,532,401,101,179,153,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
