,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Title
0,0,3,"Braund, Mr. Owen Harris",0,22,1,0,7,0,8,Mr
1,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,38,1,0,71,1,3,Mrs
2,1,3,"Heikkinen, Miss. Laina",1,26,0,0,7,0,8,Miss
3,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,35,1,0,53,0,3,Mrs
4,0,3,"Allen, Mr. William Henry",0,35,0,0,8,0,8,Mr
5,0,3,"Moran, Mr. James",0,19,0,0,8,2,8,Mr
6,0,1,"McCarthy, Mr. Timothy J",0,54,0,0,51,0,5,Mr
7,0,3,"Palsson, Master. Gosta Leonard",0,2,3,1,21,0,8,Master
8,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,27,0,2,11,0,8,Mrs
9,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,14,1,0,30,1,8,Mrs
10,1,3,"Sandstrom, Miss. Marguerite Rut",1,4,1,1,16,0,7,Miss
11,1,1,"Bonnell, Miss. Elizabeth",1,58,0,0,26,0,3,Miss
12,0,3,"Saundercock, Mr. William Henry",0,20,0,0,8,0,8,Mr
13,0,3,"Andersson, Mr. Anders Johan",0,39,1,5,31,0,8,Mr
14,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,14,0,0,7,0,8,Miss
15,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,55,0,0,16,0,8,Mrs
16,0,3,"Rice, Master. Eugene",0,2,4,1,29,2,8,Master
17,1,2,"Williams, Mr. Charles Eugene",0,26,0,0,13,0,8,Mr
18,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31,1,0,18,0,8,Mrs
19,1,3,"Masselmani, Mrs. Fatima",1,33,0,0,7,1,8,Mrs
20,0,2,"Fynney, Mr. Joseph J",0,35,0,0,26,0,8,Mr
21,1,2,"Beesley, Mr. Lawrence",0,34,0,0,13,0,4,Mr
22,1,3,"McGowan, Miss. Anna ""Annie""",1,15,0,0,8,2,8,Miss
23,1,1,"Sloper, Mr. William Thompson",0,28,0,0,35,0,1,Mr
24,0,3,"Palsson, Miss. Torborg Danira",1,8,3,1,21,0,8,Miss
25,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,38,1,5,31,0,8,Mrs
26,0,3,"Emir, Mr. Farred Chehab",0,40,0,0,7,1,8,Mr
27,0,1,"Fortune, Mr. Charles Alexander",0,19,3,2,263,0,3,Mr
28,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,33,0,0,7,2,8,Miss
29,0,3,"Todoroff, Mr. Lalio",0,26,0,0,7,0,8,Mr
30,0,1,"Uruchurtu, Don. Manuel E",0,40,0,0,27,1,8,Rare
31,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,23,1,0,146,1,2,Mrs
32,1,3,"Glynn, Miss. Mary Agatha",1,40,0,0,7,2,8,Miss
33,0,2,"Wheadon, Mr. Edward H",0,66,0,0,10,0,8,Mr
34,0,1,"Meyer, Mr. Edgar Joseph",0,28,1,0,82,1,8,Mr
35,0,1,"Holverson, Mr. Alexander Oskar",0,42,1,0,52,0,8,Mr
36,1,3,"Mamee, Mr. Hanna",0,32,0,0,7,1,8,Mr
37,0,3,"Cann, Mr. Ernest Charles",0,21,0,0,8,0,8,Mr
