PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
1,0,3,male,1,0,7,S,U,1014,Mr,623,2,Small,1
2,1,1,female,1,0,71,C,C,94,Mrs,113,7,Small,2
3,1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
4,1,1,female,1,0,53,S,C,94,Mrs,293,6,Small,2
5,0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1
6,0,3,male,0,0,8,Q,U,1014,Mr,63,2,Alone,1
7,0,1,male,0,0,51,S,E,41,Mr,623,9,Alone,2
8,0,3,male,3,1,21,S,U,1014,Master,623,0,Medium,5
9,1,3,female,0,2,11,S,U,1014,Mrs,293,4,Small,3
10,1,2,female,1,0,30,C,U,1014,Mrs,113,0,Small,2
11,1,3,female,1,1,16,S,G,5,Miss,293,0,Small,3
12,1,1,female,0,0,26,S,C,94,Miss,293,9,Alone,1
13,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
14,0,3,male,1,5,31,S,U,1014,Mr,623,7,Large,7
15,0,3,female,0,0,7,S,U,1014,Miss,293,0,Alone,1
16,1,2,female,0,0,16,S,U,1014,Mrs,293,9,Alone,1
17,0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6
18,1,2,male,0,0,13,S,U,1014,Mr,623,6,Alone,1
19,0,3,female,1,0,18,S,U,1014,Mrs,293,5,Small,2
20,1,3,female,0,0,7,C,U,1014,Mrs,113,7,Alone,1
21,0,2,male,0,0,26,S,U,1014,Mr,623,6,Alone,2
22,1,2,male,0,0,13,S,D,46,Mr,623,6,Alone,1
23,1,3,female,0,0,8,Q,U,1014,Miss,60,0,Alone,1
24,1,1,male,0,0,35,S,A,22,Mr,623,4,Alone,1
25,0,3,female,3,1,21,S,U,1014,Miss,293,0,Medium,5
26,1,3,female,1,5,31,S,U,1014,Mrs,293,7,Large,7
27,0,3,male,0,0,7,C,U,1014,Mr,157,1,Alone,1
28,0,1,male,3,2,263,S,C,94,Mr,623,1,Medium,6
29,1,3,female,0,0,7,Q,U,1014,Miss,60,4,Alone,1
30,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1
31,0,1,male,0,0,27,C,U,1014,Rare,157,7,Alone,1
32,1,1,female,1,0,146,C,B,65,Mrs,113,0,Small,3
33,1,3,female,0,0,7,Q,U,1014,Miss,60,4,Alone,1
34,0,2,male,0,0,10,S,U,1014,Mr,623,9,Alone,1
35,0,1,male,1,0,82,C,U,1014,Mr,157,4,Small,2
36,0,1,male,1,0,52,S,U,1014,Mr,623,8,Small,2
37,1,3,male,0,0,7,C,U,1014,Mr,157,6,Alone,1
38,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
39,0,3,female,2,0,18,S,U,1014,Miss,293,1,Small,2
40,1,3,female,1,0,11,C,U,1014,Miss,113,0,Small,2
41,0,3,female,1,0,9,S,U,1014,Mrs,293,7,Small,1
42,0,2,female,1,0,21,S,U,1014,Mrs,293,4,Small,2
43,0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1
44,1,2,female,1,2,41,C,U,1014,Miss,113,0,Small,4
45,1,3,female,0,0,7,Q,U,1014,Miss,60,1,Alone,1
46,0,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1
47,0,3,male,1,0,15,Q,U,1014,Mr,63,5,Small,2
48,1,3,female,0,0,7,Q,U,1014,Miss,60,1,Alone,1
49,0,3,male,2,0,21,C,U,1014,Mr,157,8,Small,3
50,0,3,female,1,0,17,S,U,1014,Mrs,293,1,Small,2
51,0,3,male,4,1,39,S,U,1014,Master,623,0,Medium,7
52,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1
53,1,1,female,1,0,76,C,D,46,Mrs,113,9,Small,3
54,1,2,female,1,0,26,S,U,1014,Mrs,293,5,Small,2
55,0,1,male,0,1,61,C,B,65,Mr,157,9,Small,2
56,1,1,male,0,0,35,S,C,94,Mr,623,3,Alone,1
57,1,2,female,0,0,10,S,U,1014,Miss,293,2,Alone,1
58,0,3,male,0,0,7,C,U,1014,Mr,157,4,Alone,1
59,1,2,female,1,2,27,S,U,1014,Miss,293,0,Small,4
60,0,3,male,5,2,46,S,U,1014,Master,623,0,Large,8
61,0,3,male,0,0,7,C,U,1014,Mr,157,2,Alone,1
62,1,1,female,0,0,80,S,B,65,Miss,293,7,Alone,2
63,0,1,male,1,0,83,S,C,94,Mr,623,8,Small,2
64,0,3,male,3,2,27,S,U,1014,Master,623,0,Medium,6
