Survived,Pclass,SibSp,Parch,Fare,port_sex,Age_bin,Ticket_freq,poly1,poly2,poly3,poly4,poly5,poly6,poly7,poly8,poly9,poly10,poly11,poly13,poly14,poly15,poly16,poly17,poly18,poly19,poly20,poly21,poly22,poly23,poly24,poly25,poly26,poly27,poly28,poly29,poly30,poly32,poly36,poly38,poly39,poly40,poly41,poly42,poly43,poly44,poly45,poly46,poly47,poly48,poly49,poly50,poly51,poly52,poly53,0,1,2,3,4,6,7,13,15,16,17,19,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,42,48,50,51,57,59,60,61
0,3,1,0,7,623,2,1,3.0,1.0,0.0,7.0,1014.0,623.0,2.0,1.0,1.0,3.0,1.0,7.0,1014.0,623.0,2.0,1.0,9.0,3.0,0.0,21.0,3042.0,1869.0,6.0,3.0,1.0,0.0,7.0,1014.0,623.0,1.0,0.0,0.0,49.0,7098.0,4361.0,14.0,7.0,1028196.0,631722.0,2028.0,1014.0,388129.0,1246.0,623.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,1,0,71,113,7,2,1.0,1.0,0.0,71.0,94.0,113.0,7.0,2.0,4.0,2.0,2.0,142.0,188.0,226.0,14.0,4.0,1.0,1.0,0.0,71.0,94.0,113.0,7.0,2.0,1.0,0.0,71.0,94.0,113.0,2.0,0.0,0.0,5041.0,6674.0,8023.0,497.0,142.0,8836.0,10622.0,658.0,188.0,12769.0,791.0,226.0,49.0,14.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,3,0,0,7,293,4,1,3.0,0.0,0.0,7.0,1014.0,293.0,4.0,1.0,9.0,9.0,0.0,21.0,3042.0,879.0,12.0,3.0,9.0,0.0,0.0,21.0,3042.0,879.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,2051.0,28.0,7.0,1028196.0,297102.0,4056.0,1014.0,85849.0,1172.0,293.0,16.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,1,0,53,293,6,2,1.0,1.0,0.0,53.0,94.0,293.0,6.0,2.0,16.0,4.0,4.0,212.0,376.0,1172.0,24.0,8.0,1.0,1.0,0.0,53.0,94.0,293.0,6.0,2.0,1.0,0.0,53.0,94.0,293.0,2.0,0.0,0.0,2809.0,4982.0,15529.0,318.0,106.0,8836.0,27542.0,564.0,188.0,85849.0,1758.0,586.0,36.0,12.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,3,0,0,8,623,6,1,3.0,0.0,0.0,8.0,1014.0,623.0,6.0,1.0,25.0,15.0,0.0,40.0,5070.0,3115.0,30.0,5.0,9.0,0.0,0.0,24.0,3042.0,1869.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,4984.0,48.0,8.0,1028196.0,631722.0,6084.0,1014.0,388129.0,3738.0,623.0,36.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,3,0,0,8,63,7,1,3.0,0.0,0.0,8.0,1014.0,63.0,7.0,1.0,36.0,18.0,0.0,48.0,6084.0,378.0,42.0,6.0,9.0,0.0,0.0,24.0,3042.0,189.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,504.0,56.0,8.0,1028196.0,63882.0,7098.0,1014.0,3969.0,441.0,63.0,49.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,0,0,51,623,9,2,1.0,0.0,0.0,51.0,41.0,623.0,9.0,2.0,49.0,7.0,0.0,357.0,287.0,4361.0,63.0,14.0,1.0,0.0,0.0,51.0,41.0,623.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,2091.0,31773.0,459.0,102.0,1681.0,25543.0,369.0,82.0,388129.0,5607.0,1246.0,81.0,18.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,3,3,1,21,623,0,5,3.0,3.0,1.0,21.0,1014.0,623.0,0.0,5.0,64.0,24.0,24.0,168.0,8112.0,4984.0,0.0,40.0,9.0,9.0,3.0,63.0,3042.0,1869.0,0.0,15.0,9.0,3.0,63.0,3042.0,1869.0,15.0,623.0,5.0,441.0,21294.0,13083.0,0.0,105.0,1028196.0,631722.0,0.0,5070.0,388129.0,0.0,3115.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,3,0,2,11,293,4,3,3.0,0.0,2.0,11.0,1014.0,293.0,4.0,3.0,81.0,27.0,0.0,99.0,9126.0,2637.0,36.0,27.0,9.0,0.0,6.0,33.0,3042.0,879.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,6.0,121.0,11154.0,3223.0,44.0,33.0,1028196.0,297102.0,4056.0,3042.0,85849.0,1172.0,879.0,16.0,12.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,2,1,0,30,113,0,2,2.0,1.0,0.0,30.0,1014.0,113.0,0.0,2.0,100.0,20.0,10.0,300.0,10140.0,1130.0,0.0,20.0,4.0,2.0,0.0,60.0,2028.0,226.0,0.0,4.0,1.0,0.0,30.0,1014.0,113.0,2.0,0.0,0.0,900.0,30420.0,3390.0,0.0,60.0,1028196.0,114582.0,0.0,2028.0,12769.0,0.0,226.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
