Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
0,3,male,1,0,7,S,U,1014,Mr,623,2,Small,1
1,1,female,1,0,71,C,C,94,Mrs,113,7,Small,2
1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1
1,1,female,1,0,53,S,C,94,Mrs,293,6,Small,2
0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1
0,3,male,0,0,8,Q,U,1014,Mr,63,7,Alone,1
0,1,male,0,0,51,S,E,41,Mr,623,9,Alone,2
0,3,male,3,1,21,S,U,1014,Master,623,0,Medium,5
1,3,female,0,2,11,S,U,1014,Mrs,293,4,Small,3
1,2,female,1,0,30,C,U,1014,Mrs,113,0,Small,2
1,3,female,1,1,16,S,G,5,Miss,293,0,Small,3
1,1,female,0,0,26,S,C,94,Miss,293,9,Alone,1
0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1
0,3,male,1,5,31,S,U,1014,Mr,623,7,Large,7
0,3,female,0,0,7,S,U,1014,Miss,293,0,Alone,1
1,2,female,0,0,16,S,U,1014,Mrs,293,9,Alone,1
0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6
1,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1
0,3,female,1,0,18,S,U,1014,Mrs,293,5,Small,2
1,3,female,0,0,7,C,U,1014,Mrs,113,4,Alone,1
0,2,male,0,0,26,S,U,1014,Mr,623,6,Alone,2
1,2,male,0,0,13,S,D,46,Mr,623,6,Alone,1
1,3,female,0,0,8,Q,U,1014,Miss,60,0,Alone,1
1,1,male,0,0,35,S,A,22,Mr,623,4,Alone,1
0,3,female,3,1,21,S,U,1014,Miss,293,0,Medium,5
1,3,female,1,5,31,S,U,1014,Mrs,293,7,Large,7
0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1
0,1,male,3,2,263,S,C,94,Mr,623,1,Medium,6
1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1
